X,Y,Z,formation
0,200,800,rock3
0,500,800,rock3
0,800,800,rock3
500,200,800,rock3
500,500,800,rock3
500,800,800,rock3
1000,200,800,rock3
1000,500,800,rock3
1000,800,800,rock3
1500,200,800,rock3
1500,500,800,rock3
1500,800,800,rock3
2000,200,650,rock3
2000,500,650,rock3
2000,800,650,rock3
0,200,450,rock2
0,500,450,rock2
0,800,450,rock2
150,200,600,rock2
150,500,600,rock2
150,800,600,rock2
300,200,750,rock2
300,500,750,rock2
300,800,750,rock2
450,200,600,rock2
450,500,600,rock2
450,800,600,rock2
600,200,450,rock2
600,500,450,rock2
600,800,450,rock2
750,200,600,rock2
750,500,600,rock2
750,800,600,rock2
850,200,800,rock2
850,500,800,rock2
850,800,800,rock2
1500,200,800,rock2
1500,500,800,rock2
1500,800,800,rock2
1600,200,600,rock2
1600,500,600,rock2
1600,800,600,rock2
1750,200,450,rock2
1750,500,450,rock2
1750,800,450,rock2
1850,200,550,rock2
1850,500,550,rock2
1850,800,550,rock2
2200,200,550,rock2
2200,500,550,rock2
2200,800,550,rock2
2300,200,650,rock2
2300,500,650,rock2
2300,800,650,rock2
0,200,250,rock1
0,500,250,rock1
0,800,250,rock1
150,200,400,rock1
150,500,400,rock1
150,800,400,rock1
300,200,550,rock1
300,500,550,rock1
300,800,550,rock1
450,200,400,rock1
450,500,400,rock1
450,800,400,rock1
600,200,250,rock1
600,500,250,rock1
600,800,250,rock1
750,200,350,rock1
750,500,350,rock1
750,800,350,rock1
900,200,550,rock1
900,500,550,rock1
900,800,550,rock1
1450,200,550,rock1
1450,500,550,rock1
1450,800,550,rock1
1600,200,350,rock1
1600,500,350,rock1
1600,800,350,rock1
1750,200,250,rock1
1750,500,250,rock1
1750,800,250,rock1
1850,200,350,rock1
1850,500,350,rock1
1850,800,350,rock1
2200,200,350,rock1
2200,500,350,rock1
2200,800,350,rock1
2300,200,450,rock1
2300,500,450,rock1
2300,800,450,rock1
1050,200,799,rock1
1050,500,799,rock1
1050,800,799,rock1
1300,200,799,rock1
1300,500,799,rock1
1300,800,799,rock1
2000,200,400,fault
2000,500,400,fault
2000,800,400,fault


