X,Y,Z,azimuth,dip,polarity,formation
667007,2578328,648,25,79,1,C1
667557,2577428,640,133,74,1,C1
667307,2578528,707,20,74,1,C2
667957,2577478,656,143,47,1,C2
663957,2580278,660,32,83,1,C3
667657,2578678,623,12,84,1,C3
668557,2577578,660,120,44,1,C3
667857,2572028,616,22,29,1,C3
666357,2578078,757,19,82,1,D2d
666557,2577178,651,121,77,1,D2d
666707,2578228,678,13,68,1,D3
667057,2577228,689,156,55,1,D3
665507,2580328,704,282,54,1,P1m
669057,2579578,620,338,8,1,P1m
670007,2578028,740,113,68,1,P1m
667407,2574628,697,119,64,1,P1m
669357,2573178,648,337,70,1,P1m
664457,2580328,709,23,45,1,P1q
668107,2578928,640,13,80,1,P1q
669107,2577778,640,116,41,1,P1q
668407,2572578,629,13,35,1,P1q
669457,2575928,891,112,82,1,T1b
667657,2580628,794,2,87,1,T1m
668807,2575428,845,117,84,1,T1m
670607,2576528,913,108,19,1,T2b1
671107,2573878,343,337,76,1,fault
